Tweet,Date,RT,Likes,Catagory,Image,Video
"So the President of the United States ""can't do much"" about gas prices? What about reopening the Keystone XL pipeline and expediting approval of ALL domestic energy development?",Mar 14,4,9,Attack,y,n
"Devastated to hear about the deaths of more Americans in Ukraine. My prayers go out to the families of journalist Brent Renaud and cameraman Pierre Zakrzewski. They sacrificed their lives to highlight the horrors of Russia’s invasion and their bravery will not be forgotten.",Mar 15,2,10,Generic,n,n
Why hasn’t President Biden visited the US-Mexico border yet?,Mar 15,64,167,Attack,n,n
"#DemocratsDeliver inflation. #DemocratsDeliver a weak supply chain. #DemocratsDeliver skyrocketing gas prices. #DemocratsDeliver school closures. #DemocratsDeliver the highest homicide rates in the 16 largest US cities. #DemocratsDeliver the border crisis.",Mar 15,4,7,Attack,n,y
"We are witnessing a completely unprovoked attack on innocent Ukrainian lives that has led to Europe’s largest refugee crisis since WWII. Proud to join my colleague @RepBice in introducing this critical legislation to provide relief for Ukrainian refugees.",Mar 16,6,11,Generic,n,n
End mask mandates on planes now!,Mar 18,17,90,Generic,n,y
"The average price of a regular gallon of gas under President Biden is $4.23. President Biden must open the Keystone XL Pipeline and unleash American energy immediately.",Mar 24,75,310,Attack,n,n
Americans' bank accounts cannot afford Democrat one-party control.,Mar 25,18,57,Attack,y,n
REMINDER: Inflation is costing the average American household an extra $296 a month.,Mar 28,3,7,Generic,y,n
"Build the Wall. Stop Catch and Release. Extend Title 42.",Mar 28,6,20,Generic,n,n
"It is time we return to leading the world in energy independence. Proud to join  @RepJerryCarl in this effort.",Mar 30,5,11,Generic,n,n
"Mentioned in Biden's budget: -Climate ""crisis"" -Equity -Increasing taxes on Americans NOT mentioned in Biden's budget: -Inflation crisis -Border crisis -Debt crisis",Mar 30,146,449,Attack,n,n
He should just open up the federal lease lands for drilling instead.,Mar 31,2,3,Attack,y,n
